,PupilMatchingRefAnonymous_AUT20,NCYearActual_AUT20,URN_AUT20,hh_id
114506,347,7,95067,hh_3001177
121788,349,12,95066,hh_2567582
134399,355,7,95066,hh_2562064
138565,359,7,95066,hh_2982268
138566,360,8,95065,hh_3008894
139167,361,7,95071,hh_1432769
139780,362,7,95064,hh_2996337
140545,364,8,95062,hh_2981252
140552,365,7,95064,hh_2994457
142927,371,7,95064,hh_2999771
142994,372,7,95064,hh_2996391
143006,373,7,95064,hh_2984018
143445,374,10,95065,hh_2624088
143542,376,7,95066,hh_2983384
143545,377,7,95064,hh_2984198
143944,379,7,95071,hh_1335976
144004,380,7,95065,hh_3005083
144155,382,8,95065,hh_3008927
144509,384,7,132193,hh_3014581
144520,385,7,95063,hh_2981432
144867,386,7,95071,hh_3008570
144870,388,10,95063,hh_4656790
144871,389,7,95062,hh_3006686
144877,392,6,95051,hh_3006573
145129,393,7,95067,hh_2981942
145930,394,8,95064,hh_2994916
146361,397,7,95108,hh_3014818
146812,398,13,95062,hh_2586098
147540,403,7,95062,hh_3000832
147551,404,7,132193,hh_3001167
148168,407,7,95067,hh_2979858
148169,408,7,95071,hh_3005734
148170,409,6,95051,hh_3000366
148172,411,7,95071,hh_2980014
149720,414,7,95062,hh_2603231
150333,416,7,95071,hh_2595439
150362,417,7,95062,hh_2623166
150419,419,7,95071,hh_2635046
151440,423,7,95064,hh_3011322
151441,424,7,95064,hh_2998454
151525,427,7,95064,hh_2984559
152056,429,7,132193,hh_3009098
152058,430,7,132193,hh_3001147
152363,432,7,95064,hh_2999266
152590,433,7,95063,hh_2980382
152617,435,7,95068,hh_4575341
153353,436,7,95066,hh_2623953
153356,437,7,95065,hh_2604251
153358,438,7,95065,hh_2624165
153359,439,11,95065,hh_2584980
153384,441,7,95068,hh_2604419
155439,446,8,95061,hh_3007250
155460,457,7,95062,hh_3006440
155472,460,7,95062,hh_3007025
155474,461,8,132193,hh_3001119
155476,463,8,132193,hh_3001338
155477,464,8,132193,hh_3000795
155487,467,8,95065,hh_3000559
155497,471,8,95065,hh_3006949
155505,474,7,95068,hh_3007072
155615,475,6,95103,hh_1385721
155846,482,8,95066,hh_3005893
155849,485,8,95066,hh_2981918
155878,487,8,95062,hh_2602935
155884,489,8,95071,hh_2625391
156024,493,7,95071,hh_2560510
156027,494,7,95066,hh_2613482
156035,496,7,95071,hh_4984533
156070,497,7,95067,hh_4656719
157188,502,7,95066,hh_4995603
157189,503,8,95062,hh_3000228
157194,506,7,95066,hh_2980658
157199,508,7,132193,hh_3001494
157200,509,8,95065,hh_3005101
157201,510,8,95061,hh_3006238
157202,511,8,95065,hh_3004995
157208,513,8,95067,hh_2979748
157209,514,8,95067,hh_2981208
157211,515,7,95067,hh_2979106
157212,516,7,95061,hh_2981281
157215,517,8,95071,hh_3001854
157216,518,8,132193,hh_3001235
157220,520,8,95066,hh_2982011
157227,523,8,132193,hh_3001326
157229,525,7,95064,hh_2996328
157235,528,8,95068,hh_2981111
157237,530,8,95108,hh_3006956
157294,533,8,132193,hh_3001863
157296,534,7,95068,hh_3006602
157301,536,7,95065,hh_3005947
157328,539,7,95068,hh_2981985
157338,540,7,95071,hh_2591935
157426,542,7,95062,hh_2604989
158689,546,8,95064,hh_2998441
158957,549,7,95071,hh_2997781
161323,552,8,95061,hh_3005116
161330,553,7,95071,hh_2628295
162628,555,8,95071,hh_1430036
162653,556,7,95062,hh_3000699
162659,559,8,95062,hh_3009009
162663,561,8,95065,hh_3007394
162672,563,8,95063,hh_2980518
162673,564,8,95063,hh_2980010
162675,565,7,95068,hh_2979655
162677,566,8,95063,hh_3005110
162684,569,8,95067,hh_2979260
162689,574,7,95065,hh_3005346
162709,580,8,132193,hh_3007888
162712,582,8,95063,hh_2980451
162713,583,7,132193,hh_3009015
162822,586,7,95063,hh_2980003
162860,587,7,132193,hh_3014357
162918,589,7,95068,hh_3001074
162920,590,7,95063,hh_2980200
163020,591,7,95065,hh_2624543
163035,592,7,95071,hh_1429887
163036,593,7,95071,hh_2596724
163162,594,12,132193,hh_3704108
173934,597,7,95063,hh_2981441
173992,599,8,95064,hh_3006642
174200,601,7,95067,hh_3015025
175656,604,7,95062,hh_3006418
175676,605,7,95064,hh_2999677
175849,606,8,95064,hh_2996622
176177,607,8,132193,hh_3001633
176203,608,11,95064,hh_2998622
176216,609,12,95064,hh_2990838
176348,611,8,95066,hh_3006086
176377,612,8,132193,hh_3007867
176378,613,8,132193,hh_3014238
176550,614,7,95071,hh_2562342
177251,616,8,95062,hh_2981203
177308,618,8,95071,hh_2605245
177311,620,8,95067,hh_1435962
177324,623,8,95062,hh_2603716
177331,624,7,95065,hh_2602822
177334,625,7,95067,hh_2619479
177397,626,8,95068,hh_2604552
177927,627,7,95071,hh_2593133
178125,628,7,95064,hh_3007992
178138,630,7,132193,hh_3007941
180275,634,10,95065,hh_2981203
180317,635,7,95071,hh_2620625
180818,638,7,95065,hh_2604882
180941,641,7,95062,hh_2981556
180943,642,7,95065,hh_3005676
180944,643,8,132193,hh_3001783
180955,647,8,132193,hh_3001432
180959,649,8,95067,hh_3005900
180962,652,8,95068,hh_2981405
180965,654,8,132193,hh_4996029
180971,655,8,95065,hh_2982165
180978,657,8,95066,hh_2624419
180983,661,8,95061,hh_2980713
180986,664,8,132193,hh_3009018
180991,665,8,95068,hh_3002147
180993,666,8,95066,hh_2982080
181884,670,8,132193,hh_3014500
181888,671,8,95067,hh_2982041
181889,672,8,95065,hh_3005848
181910,674,7,95065,hh_2604426
181916,675,8,95066,hh_2566527
181936,678,8,95065,hh_2604879
182079,681,8,95065,hh_2605372
182092,683,8,95065,hh_2602713
182467,684,8,132193,hh_3014141
183045,686,7,95064,hh_2984414
184813,690,8,95068,hh_3000395
184824,692,8,95068,hh_3005334
184826,694,8,95071,hh_3006539
185375,695,8,95064,hh_2995775
186185,697,7,95063,hh_2626998
188704,699,7,95061,hh_2980245
190031,702,7,132193,hh_3014354
190053,703,7,95064,hh_2995123
190358,705,8,95062,hh_2996025
190679,707,8,95061,hh_3000817
190680,708,8,95065,hh_2623772
190687,710,8,95064,hh_2998765
190692,713,8,95062,hh_3005572
190696,715,8,95068,hh_3000866
192130,722,8,95064,hh_3008160
192530,723,8,132193,hh_3008388
192532,724,8,95064,hh_3008036
192581,740,7,95064,hh_2996277
192604,750,7,95071,hh_2586217
192634,751,7,95063,hh_2981227
192637,752,7,95066,hh_2982186
192638,753,8,132193,hh_3001354
192644,754,8,132193,hh_3001081
192645,755,7,95071,hh_2623044
192654,758,7,132193,hh_4996102
192656,759,7,95065,hh_3001251
192657,760,7,95068,hh_2981654
192667,762,8,132193,hh_3014140
192668,763,8,95108,hh_3005202
192727,765,7,95068,hh_3006552
192734,766,8,95064,hh_3005126
192740,767,8,95065,hh_2979091
192782,769,8,95062,hh_2604236
192804,770,8,95062,hh_2602564
192805,771,7,95062,hh_4985222
192925,772,7,95061,hh_2982302
192927,773,8,95108,hh_3008101
192938,780,7,95067,hh_2980610
193346,783,8,95065,hh_2625719
195140,785,7,95062,hh_2981738
196100,787,8,132193,hh_3001867
196102,788,8,95062,hh_3008108
199315,795,7,95064,hh_2996134
199316,796,8,95065,hh_3004993
199318,798,7,95062,hh_3006608
199325,801,8,95065,hh_3005791
199327,803,7,95066,hh_2979094
199328,804,7,95066,hh_2979032
199353,807,7,95068,hh_2604125
199362,808,8,95065,hh_3005390
199494,811,7,95066,hh_2982183
199515,813,7,95071,hh_2622022
199531,815,8,95066,hh_2624547
200334,816,8,95064,hh_2998653
201250,818,8,95071,hh_2979196
201252,820,7,95063,hh_2979410
201253,821,8,95067,hh_2981173
201255,822,7,95065,hh_2605067
201272,829,8,132193,hh_2981447
201275,831,8,95064,hh_2996366
201277,832,8,132193,hh_3008606
201280,834,7,95066,hh_3005318
201282,835,7,95066,hh_3007045
201353,836,8,95062,hh_3007070
201354,837,8,95108,hh_2982229
201361,840,8,95061,hh_2995741
201366,841,8,95066,hh_3005884
201368,842,7,95065,hh_2624850
201371,843,8,95066,hh_3006097
201372,844,8,95065,hh_3005587
201406,847,7,95062,hh_2604467
201635,852,7,95068,hh_3005114
201641,854,7,95062,hh_3000476
201642,855,7,95066,hh_3005863
201644,856,7,95064,hh_2995973
201645,857,8,132193,hh_3001245
201646,858,8,95063,hh_2981217
201651,860,7,95067,hh_3000428
201659,864,8,95067,hh_2982325
201675,869,7,95064,hh_3008963
201676,870,7,95062,hh_2981324
201677,871,8,95064,hh_2995708
201679,873,8,95063,hh_3014370
201680,874,8,132193,hh_3001196
201687,877,8,95063,hh_2605443
201753,879,7,132193,hh_3001435
202734,883,8,95062,hh_2621128
202878,887,7,95061,hh_3007094
202885,891,7,95066,hh_2605135
202895,897,8,95065,hh_3005568
202900,899,8,95068,hh_2979210
202903,901,8,95065,hh_3006054
202904,902,8,95066,hh_3005737
202905,903,8,95065,hh_2982156
203083,908,8,95067,hh_2563015
203086,909,8,95068,hh_2604861
203164,911,8,132193,hh_2981455
203175,912,7,95062,hh_2604478
203194,913,8,95065,hh_2625037
203458,917,7,95065,hh_2605239
203461,918,8,95067,hh_2560727
203463,919,8,95066,hh_2624074
203465,920,7,95062,hh_2603723
203626,921,8,95064,hh_2984085
203627,922,8,95064,hh_2998330
203630,923,8,95064,hh_2984197
203639,924,8,95064,hh_2999189
203688,925,8,95065,hh_2982215
203700,927,7,132193,hh_3014391
203713,928,8,95066,hh_2560245
203791,929,7,95066,hh_2981890
203856,931,8,95065,hh_2604944
203861,932,7,95065,hh_2605347
206681,937,8,95068,hh_2981283
206682,938,8,132193,hh_3009053
206683,939,8,95065,hh_3007261
206685,940,8,95061,hh_3000355
206688,942,8,95066,hh_2624258
206694,946,7,95067,hh_2981799
206697,948,8,95065,hh_3000694
206700,950,8,95062,hh_3006615
206870,956,8,95068,hh_3005341
207070,957,8,95067,hh_2987484
207729,963,7,95071,hh_3015271
207872,964,8,95065,hh_4995671
208023,966,8,95066,hh_2605947
208250,967,7,95064,hh_2995426
208360,968,8,132193,hh_3014570
208380,969,7,132193,hh_3001025
208388,970,8,95067,hh_3015752
209454,971,11,95064,hh_2994854
209556,973,8,95062,hh_3008337
209561,974,7,95071,hh_3015883
212200,979,7,95064,hh_3010894
212785,981,8,95064,hh_2986869
212805,982,8,95064,hh_3016395
212898,983,11,95061,hh_3006445
213068,985,8,95068,hh_3006674
213071,987,7,95071,hh_2979849
213072,988,8,95062,hh_2604613
213077,992,8,132193,hh_3006849
213089,998,8,95064,hh_3008010
215275,1000,9,95065,hh_3006619
215398,1001,7,95062,hh_3006579
218753,1004,7,95066,hh_2623592
219867,1005,9,95064,hh_2990506
220338,1006,7,95062,hh_2981148
220858,1009,8,95071,hh_2611728
220962,1010,8,95067,hh_3006348
221517,1012,8,95065,hh_2981363
221540,1019,8,95063,hh_4655924
221550,1025,8,95065,hh_3000889
221552,1027,7,95066,hh_2981713
221553,1028,8,95063,hh_2979894
221557,1031,7,95066,hh_2603325
221559,1032,8,95063,hh_4656494
222047,1038,7,95065,hh_1352985
222409,1039,8,95064,hh_2999543
222519,1040,12,95064,hh_2996743
224394,1041,8,95064,hh_2990506
224897,1042,9,95064,hh_2998622
225055,1043,8,95063,hh_2605425
225451,1045,8,95068,hh_3001936
226087,1047,8,95067,hh_4656463
226333,1049,7,132193,hh_3008643
226354,1050,7,95064,hh_2998416
226809,1052,9,95064,hh_2996271
226813,1053,7,95063,hh_3006661
226877,1054,9,95067,hh_4562931
227012,1055,8,95064,hh_2983319
228791,1058,9,95067,hh_2978853
228798,1061,7,95071,hh_3014353
228859,1062,8,132193,hh_3014654
229225,1063,7,132193,hh_3015925
229228,1064,8,95063,hh_5040437
229229,1065,8,95063,hh_4575615
229232,1066,7,132193,hh_3014244
229235,1068,7,95063,hh_2980693
229236,1069,7,132193,hh_3008493
229417,1072,8,95067,hh_2979005
230655,1073,7,95065,hh_2981222
230661,1074,7,95108,hh_2981775
230703,1075,8,95066,hh_2560100
230704,1076,8,95062,hh_2560164
230706,1077,8,95064,hh_2626531
230713,1078,8,95071,hh_2602637
230720,1079,8,95065,hh_2602719
230721,1080,7,95065,hh_2602720
230722,1081,7,95065,hh_2604554
230723,1082,7,95068,hh_2624145
230735,1084,8,95065,hh_4953865
230877,1086,8,132193,hh_3008443
230878,1087,8,132193,hh_3008622
230879,1088,8,132193,hh_3008654
231102,1090,7,95067,hh_2979173
231103,1091,7,95065,hh_2624113
231532,1095,8,95066,hh_2979980
231535,1097,7,132193,hh_3014707
231538,1099,7,95062,hh_2605324
231542,1102,8,95061,hh_3000870
231546,1103,9,95068,hh_2982406
231548,1105,8,95063,hh_4655984
236412,1108,7,95071,hh_2602687
236413,1109,7,95062,hh_2603211
238260,1113,7,95068,hh_3006326
238906,1115,8,95068,hh_3006766
238909,1116,7,95062,hh_2602771
238929,1117,7,95068,hh_2602747
238998,1118,7,95067,hh_2560166
239774,1120,8,95063,hh_2625765
240830,1123,7,95062,hh_3001052
240889,1124,8,95071,hh_2605043
240892,1125,8,95071,hh_2605299
240894,1126,7,95062,hh_2624565
240899,1128,11,95065,hh_2604549
241259,1134,7,95065,hh_3005468
241336,1136,7,95066,hh_2627170
241340,1137,7,95065,hh_2621848
241343,1138,7,95071,hh_2563081
241348,1139,7,95067,hh_2566420
241358,1140,7,95067,hh_2620466
241388,1141,7,95066,hh_2624406
241829,1142,7,95071,hh_4088801
242872,1143,7,95071,hh_2606149
242894,1144,9,95071,hh_1402571
243044,1145,10,95064,hh_2994759
243045,1146,8,95064,hh_2995628
243476,1147,8,95065,hh_2604725
245519,1149,7,95064,hh_2995333
245602,1153,7,95063,hh_2982208
249701,1158,8,95063,hh_4656008
249705,1159,9,95066,hh_3005773
249712,1163,7,95067,hh_2980019
249713,1164,7,95063,hh_3007632
249715,1166,8,95065,hh_3000639
249716,1167,8,95065,hh_3000808
249717,1168,8,95066,hh_3005851
249719,1169,8,95062,hh_2981815
249720,1170,9,95062,hh_2981815
249724,1172,8,132193,hh_3008070
249725,1173,9,132193,hh_3014484
262705,1176,8,132193,hh_3014377
270201,1177,8,95063,hh_3006428
271837,1178,8,95067,hh_2626543
271960,1179,8,95065,hh_3005805
271963,1180,8,132193,hh_2981579
271968,1181,7,95064,hh_3002049
271970,1183,8,132193,hh_3000914
271971,1184,8,132193,hh_2981791
271977,1186,8,95061,hh_2979228
271979,1188,7,95063,hh_4995590
271984,1193,7,95062,hh_2981641
271985,1194,7,95067,hh_2979918
271987,1196,8,95065,hh_2627165
271994,1199,10,95064,hh_2995677
272509,1200,8,95065,hh_3001833
272510,1201,7,95062,hh_3005269
272517,1203,7,132193,hh_3001238
272518,1204,11,95064,hh_3021425
272519,1205,8,95068,hh_3000235
272523,1208,9,95064,hh_4655897
272524,1209,7,95068,hh_3005577
272528,1212,7,95066,hh_2981446
272529,1213,8,95061,hh_2980403
272531,1214,8,95062,hh_3006698
272532,1215,7,95061,hh_2981400
272539,1218,8,95065,hh_3005020
273506,1219,7,95063,hh_2979251
273991,1220,8,95062,hh_3001460
287712,1221,8,95062,hh_3001273
412559,1226,8,95065,hh_3005130
433712,1227,7,95065,hh_2605101
433804,1229,7,95064,hh_2995678
444206,1230,7,95062,hh_2605391
446253,1232,7,95061,hh_2979628
446454,1234,8,95064,hh_3007645
453001,1237,9,95066,hh_4995638
453003,1238,7,95067,hh_3006052
455774,1239,11,95063,hh_2979956
456168,1241,7,95063,hh_4656458
456170,1242,8,95061,hh_2979072
456171,1243,7,95061,hh_2981448
461818,1244,11,95061,hh_3008494
462050,1245,13,95063,hh_2979956
462236,1247,9,95063,hh_2980427
464398,1250,7,95065,hh_4655912
464725,1252,7,95064,hh_2995016
466300,1255,7,95061,hh_2981399
468644,1256,8,95064,hh_2996313
486008,1260,6,95057,hh_3006501
486803,1261,7,95064,hh_2999148
486839,1263,7,95064,hh_2999671
490353,1267,7,95066,hh_2982036
490354,1268,7,95063,hh_3005155
493856,1272,8,95064,hh_2995799
504405,1273,9,95066,hh_3006861
504412,1274,7,95061,hh_2980600
508742,1276,8,132193,hh_3014095
509198,1278,7,95064,hh_2995016
509368,1279,7,132193,hh_3002144
511762,1283,11,95064,hh_2994796
512019,1284,7,95068,hh_2981375
512331,1285,7,95067,hh_2626849
512496,1288,6,95053,hh_4656254
512845,1291,6,95025,hh_2979897
513505,1293,6,95047,hh_3011066
518518,1297,8,95071,hh_3006370
520937,1301,6,95037,hh_3001501
521940,1302,6,127257,hh_3009058
525433,1307,6,95045,hh_2981767
536389,1316,6,95038,hh_2996273
536646,1317,7,95108,hh_3000249
537258,1318,6,95020,hh_4656040
538138,1321,7,95064,hh_2998008
538139,1322,7,95063,hh_2980018
538153,1327,7,95061,hh_2981988
538155,1329,8,95063,hh_2979904
538157,1330,8,95062,hh_3002175
538158,1331,7,95068,hh_3006205
538165,1333,7,95062,hh_3005470
538166,1334,7,95062,hh_3005454
538167,1335,7,95062,hh_3006742
538168,1336,7,95061,hh_2979666
538169,1337,7,95066,hh_3007103
538176,1341,7,95065,hh_3005044
538179,1343,7,95067,hh_2981172
538183,1345,7,132193,hh_2980352
538185,1346,7,132193,hh_3007474
538186,1347,8,95062,hh_3008286
538187,1348,7,95065,hh_3006159
538191,1350,7,132193,hh_3001230
538193,1352,7,95063,hh_2980076
538194,1353,7,95066,hh_3005597
538195,1354,7,95062,hh_2623856
538196,1355,7,95062,hh_2623865
538197,1356,7,95065,hh_2604637
538200,1359,7,95068,hh_2981287
538779,1363,6,95059,hh_3010074
539715,1366,9,95064,hh_2998340
541693,1369,13,136176,hh_2605238
543450,1372,6,95032,hh_2981083
545678,1375,11,95064,hh_1652771
545695,1376,6,95031,hh_3000166
545781,1378,6,95033,hh_3007205
546185,1379,6,95057,hh_3006109
547814,1381,6,95054,hh_3008527
547889,1382,6,95058,hh_3001279
550541,1386,6,95037,hh_3000509
551484,1387,6,95033,hh_3006849
551915,1389,6,95056,hh_2979366
551979,1390,6,95020,hh_4656080
552088,1392,6,134849,hh_3000522
553082,1393,6,95034,hh_2978867
555202,1397,6,95035,hh_3005875
555565,1398,6,95041,hh_4655917
556885,1400,8,95062,hh_1433501
557686,1403,6,95057,hh_3007005
557766,1404,6,95032,hh_2981183
557844,1405,6,95053,hh_4656300
558204,1409,6,95043,hh_3001990
559712,1412,6,95022,hh_2981834
563003,1419,6,95023,hh_2605271
563460,1422,6,95031,hh_2617325
563471,1423,6,95034,hh_2981269
563717,1425,6,95030,hh_2980188
563944,1426,7,95067,hh_4656065
564399,1428,6,95033,hh_3007050
566401,1433,6,95025,hh_2979406
567022,1436,6,95056,hh_2980052
567664,1438,7,95063,hh_2980703
569334,1441,6,95033,hh_3008031
569733,1444,7,95066,hh_3005544
569736,1446,7,95065,hh_3006315
571203,1447,6,95032,hh_3007821
571239,1448,6,95032,hh_2981024
571975,1449,6,95032,hh_2981529
572303,1451,6,95054,hh_3010086
573445,1457,6,95045,hh_2981783
574431,1460,6,95022,hh_2982433
574649,1462,6,95034,hh_2979076
575605,1463,5,95052,hh_4656261
576103,1468,6,95021,hh_3008598
577092,1473,6,95054,hh_3010100
579621,1475,6,95055,hh_2979095
581772,1477,6,95027,hh_2981191
582920,1478,6,95051,hh_3006173
583498,1479,6,95019,hh_2981218
584442,1482,6,95055,hh_2979363
585138,1484,6,127257,hh_2996363
585269,1486,6,95037,hh_2979137
586388,1488,6,125354,hh_1434567
586402,1489,6,127257,hh_3007994
588446,1491,6,95054,hh_3008896
588680,1492,6,95047,hh_3006085
588799,1494,6,95057,hh_2624334
589243,1495,6,127257,hh_3008736
591161,1497,7,95065,hh_2981139
591230,1498,6,95051,hh_3006870
593732,1502,6,95023,hh_3005165
595396,1505,7,95067,hh_2980210
595397,1506,7,95066,hh_2981971
595399,1508,7,95067,hh_2979062
595408,1511,7,95063,hh_2979053
595414,1517,7,95061,hh_3006582
595415,1518,7,95061,hh_2981389
595416,1519,8,132193,hh_3001236
595418,1520,7,95063,hh_2979888
595419,1521,8,95063,hh_2979882
595427,1522,7,95108,hh_3006180
595436,1526,7,95065,hh_3000497
595439,1528,7,95062,hh_3007216
595441,1529,7,132193,hh_3008514
595442,1530,7,95068,hh_2981849
595451,1534,7,95068,hh_3006382
595452,1535,7,95063,hh_2980216
595457,1537,7,95063,hh_4656380
595461,1538,7,95061,hh_2981047
595462,1539,7,95065,hh_2981210
595463,1540,7,95065,hh_3005673
595466,1542,7,95065,hh_2979209
595467,1543,8,95061,hh_3001381
595469,1544,7,95068,hh_2979620
595470,1545,7,95063,hh_2605389
595472,1547,7,95063,hh_2981163
595791,1550,6,95020,hh_4655870
601570,1551,6,95039,hh_2604580
602212,1555,7,95061,hh_2981206
602214,1557,7,132193,hh_3001473
602219,1561,8,95062,hh_2979891
602220,1562,7,132193,hh_3009052
602222,1563,8,95063,hh_2978951
602228,1564,7,95065,hh_3005806
602778,1566,6,127257,hh_3008127
602880,1568,6,95021,hh_3007834
603313,1569,7,95065,hh_3006211
603315,1570,7,95065,hh_3007077
603316,1571,7,132193,hh_3000338
603317,1572,7,95065,hh_3000600
603320,1575,8,95064,hh_3007441
603323,1576,7,95062,hh_3005152
603324,1577,7,95063,hh_2981689
603325,1578,7,95063,hh_4656011
603326,1579,7,95063,hh_2981902
603327,1580,7,95065,hh_2624141
603336,1585,7,95063,hh_4656313
603342,1587,8,132193,hh_3001320
603343,1588,8,132193,hh_3001857
603347,1592,7,95066,hh_2982073
603350,1595,7,95067,hh_2980121
603351,1596,7,95065,hh_3005475
603354,1598,7,95061,hh_2978919
603360,1602,6,95033,hh_3006562
603361,1603,7,95061,hh_3006805
603362,1604,7,95063,hh_2979545
603548,1606,6,95041,hh_2979571
607128,1609,8,132193,hh_3014190
609005,1610,12,95071,hh_1435641
611533,1612,7,95061,hh_3006826
612287,1614,7,95061,hh_3006295
612294,1616,7,95068,hh_2604612
612299,1619,8,132193,hh_3001209
